Time from;Time to;Heat Demand;Electricity Price
08/07/2023 00:00;08/07/2023 01:00;1,79;752,03
08/07/2023 01:00;08/07/2023 02:00;1,85;691,05
08/07/2023 02:00;08/07/2023 03:00;1,76;674,78
08/07/2023 03:00;08/07/2023 04:00;1,67;652,95
08/07/2023 04:00;08/07/2023 05:00;1,73;666,30
08/07/2023 05:00;08/07/2023 06:00;1,79;654,60
08/07/2023 06:00;08/07/2023 07:00;1,82;637,05
08/07/2023 07:00;08/07/2023 08:00;1,81;639,45
08/07/2023 08:00;08/07/2023 09:00;1,84;628,28
08/07/2023 09:00;08/07/2023 10:00;1,88;570,30
08/07/2023 10:00;08/07/2023 11:00;2,00;456,75
08/07/2023 11:00;08/07/2023 12:00;1,86;347,40
08/07/2023 12:00;08/07/2023 13:00;1,78;264,15
08/07/2023 13:00;08/07/2023 14:00;1,60;125,33
08/07/2023 14:00;08/07/2023 15:00;1,57;125,48
08/07/2023 15:00;08/07/2023 16:00;1,55;300,00
08/07/2023 16:00;08/07/2023 17:00;1,57;456,75
08/07/2023 17:00;08/07/2023 18:00;1,53;625,50
08/07/2023 18:00;08/07/2023 19:00;1,52;804,75
08/07/2023 19:00;08/07/2023 20:00;1,50;907,50
08/07/2023 20:00;08/07/2023 21:00;1,50;965,70
08/07/2023 21:00;08/07/2023 22:00;1,48;996,45
08/07/2023 22:00;08/07/2023 23:00;1,51;972,90
08/07/2023 23:00;09/07/2023 00:00;1,55;869,40
09/07/2023 00:00;09/07/2023 01:00;1,54;820,80
09/07/2023 01:00;09/07/2023 02:00;1,47;763,05
09/07/2023 02:00;09/07/2023 03:00;1,41;763,65
09/07/2023 03:00;09/07/2023 04:00;1,43;715,80
09/07/2023 04:00;09/07/2023 05:00;1,43;718,43
09/07/2023 05:00;09/07/2023 06:00;1,45;726,90
09/07/2023 06:00;09/07/2023 07:00;1,47;710,10
09/07/2023 07:00;09/07/2023 08:00;1,50;684,00
09/07/2023 08:00;09/07/2023 09:00;1,62;646,80
09/07/2023 09:00;09/07/2023 10:00;1,70;578,33
09/07/2023 10:00;09/07/2023 11:00;1,74;450,90
09/07/2023 11:00;09/07/2023 12:00;1,68;375,90
09/07/2023 12:00;09/07/2023 13:00;1,58;342,68
09/07/2023 13:00;09/07/2023 14:00;1,45;277,43
09/07/2023 14:00;09/07/2023 15:00;1,43;336,38
09/07/2023 15:00;09/07/2023 16:00;1,42;413,63
09/07/2023 16:00;09/07/2023 17:00;1,47;547,35
09/07/2023 17:00;09/07/2023 18:00;1,46;618,00
09/07/2023 18:00;09/07/2023 19:00;1,50;783,08
09/07/2023 19:00;09/07/2023 20:00;1,50;916,58
09/07/2023 20:00;09/07/2023 21:00;1,44;990,00
09/07/2023 21:00;09/07/2023 22:00;1,45;1005,75
09/07/2023 22:00;09/07/2023 23:00;1,44;990,90
09/07/2023 23:00;10/07/2023 00:00;1,47;897,00
10/07/2023 00:00;10/07/2023 01:00;1,40;843,68
10/07/2023 01:00;10/07/2023 02:00;1,32;765,00
10/07/2023 02:00;10/07/2023 03:00;1,28;707,25
10/07/2023 03:00;10/07/2023 04:00;1,33;689,55
10/07/2023 04:00;10/07/2023 05:00;1,35;699,83
10/07/2023 05:00;10/07/2023 06:00;1,35;788,55
10/07/2023 06:00;10/07/2023 07:00;1,42;912,53
10/07/2023 07:00;10/07/2023 08:00;1,49;995,85
10/07/2023 08:00;10/07/2023 09:00;1,55;1007,03
10/07/2023 09:00;10/07/2023 10:00;1,58;884,63
10/07/2023 10:00;10/07/2023 11:00;1,68;789,60
10/07/2023 11:00;10/07/2023 12:00;1,73;712,43
10/07/2023 12:00;10/07/2023 13:00;1,68;669,23
10/07/2023 13:00;10/07/2023 14:00;1,62;601,20
10/07/2023 14:00;10/07/2023 15:00;1,51;483,53
10/07/2023 15:00;10/07/2023 16:00;1,53;463,58
10/07/2023 16:00;10/07/2023 17:00;1,46;472,05
10/07/2023 17:00;10/07/2023 18:00;1,51;602,70
10/07/2023 18:00;10/07/2023 19:00;1,55;914,78
10/07/2023 19:00;10/07/2023 20:00;1,53;1241,18
10/07/2023 20:00;10/07/2023 21:00;1,50;1319,18
10/07/2023 21:00;10/07/2023 22:00;1,49;1350,53
10/07/2023 22:00;10/07/2023 23:00;1,47;1221,90
10/07/2023 23:00;11/07/2023 00:00;1,57;1002,75
11/07/2023 00:00;11/07/2023 01:00;1,53;933,08
11/07/2023 01:00;11/07/2023 02:00;1,54;868,05
11/07/2023 02:00;11/07/2023 03:00;1,42;789,68
11/07/2023 03:00;11/07/2023 04:00;1,46;755,10
11/07/2023 04:00;11/07/2023 05:00;1,48;747,75
11/07/2023 05:00;11/07/2023 06:00;1,56;845,55
11/07/2023 06:00;11/07/2023 07:00;1,60;926,63
11/07/2023 07:00;11/07/2023 08:00;1,68;940,43
11/07/2023 08:00;11/07/2023 09:00;1,80;907,13
11/07/2023 09:00;11/07/2023 10:00;1,78;788,25
11/07/2023 10:00;11/07/2023 11:00;1,83;686,78
11/07/2023 11:00;11/07/2023 12:00;1,92;489,38
11/07/2023 12:00;11/07/2023 13:00;1,93;422,85
11/07/2023 13:00;11/07/2023 14:00;1,91;347,93
11/07/2023 14:00;11/07/2023 15:00;1,72;355,43
11/07/2023 15:00;11/07/2023 16:00;1,64;434,10
11/07/2023 16:00;11/07/2023 17:00;1,59;510,00
11/07/2023 17:00;11/07/2023 18:00;1,53;698,40
11/07/2023 18:00;11/07/2023 19:00;1,61;855,00
11/07/2023 19:00;11/07/2023 20:00;1,69;1061,63
11/07/2023 20:00;11/07/2023 21:00;1,65;1200,15
11/07/2023 21:00;11/07/2023 22:00;1,62;1005,68
11/07/2023 22:00;11/07/2023 23:00;1,56;892,50
11/07/2023 23:00;12/07/2023 00:00;1,62;772,73
12/07/2023 00:00;12/07/2023 01:00;1,70;738,53
12/07/2023 01:00;12/07/2023 02:00;1,66;682,50
12/07/2023 02:00;12/07/2023 03:00;1,62;675,00
12/07/2023 03:00;12/07/2023 04:00;1,55;615,68
12/07/2023 04:00;12/07/2023 05:00;1,58;580,50
12/07/2023 05:00;12/07/2023 06:00;1,61;570,00
12/07/2023 06:00;12/07/2023 07:00;1,66;661,65
12/07/2023 07:00;12/07/2023 08:00;1,75;865,50
12/07/2023 08:00;12/07/2023 09:00;1,78;900,00
12/07/2023 09:00;12/07/2023 10:00;1,76;767,48
12/07/2023 10:00;12/07/2023 11:00;1,76;622,50
12/07/2023 11:00;12/07/2023 12:00;1,94;380,78
12/07/2023 12:00;12/07/2023 13:00;1,86;119,03
12/07/2023 13:00;12/07/2023 14:00;1,79;96,90
12/07/2023 14:00;12/07/2023 15:00;1,62;144,98
12/07/2023 15:00;12/07/2023 16:00;1,55;202,73
12/07/2023 16:00;12/07/2023 17:00;1,55;221,18
12/07/2023 17:00;12/07/2023 18:00;1,53;328,65
12/07/2023 18:00;12/07/2023 19:00;1,56;375,45
12/07/2023 19:00;12/07/2023 20:00;1,59;601,95
12/07/2023 20:00;12/07/2023 21:00;1,61;1043,25
12/07/2023 21:00;12/07/2023 22:00;1,61;939,00
12/07/2023 22:00;12/07/2023 23:00;1,67;945,08
12/07/2023 23:00;13/07/2023 00:00;1,66;854,33
13/07/2023 00:00;13/07/2023 01:00;1,67;786,90
13/07/2023 01:00;13/07/2023 02:00;1,65;642,45
13/07/2023 02:00;13/07/2023 03:00;1,60;592,50
13/07/2023 03:00;13/07/2023 04:00;1,55;563,18
13/07/2023 04:00;13/07/2023 05:00;1,60;570,00
13/07/2023 05:00;13/07/2023 06:00;1,68;663,83
13/07/2023 06:00;13/07/2023 07:00;1,71;766,73
13/07/2023 07:00;13/07/2023 08:00;1,78;828,53
13/07/2023 08:00;13/07/2023 09:00;2,04;893,25
13/07/2023 09:00;13/07/2023 10:00;2,02;652,20
13/07/2023 10:00;13/07/2023 11:00;1,80;365,78
13/07/2023 11:00;13/07/2023 12:00;1,73;356,93
13/07/2023 12:00;13/07/2023 13:00;1,72;370,43
13/07/2023 13:00;13/07/2023 14:00;1,62;348,75
13/07/2023 14:00;13/07/2023 15:00;1,62;348,75
13/07/2023 15:00;13/07/2023 16:00;1,67;350,63
13/07/2023 16:00;13/07/2023 17:00;1,61;338,03
13/07/2023 17:00;13/07/2023 18:00;1,65;351,98
13/07/2023 18:00;13/07/2023 19:00;1,65;417,68
13/07/2023 19:00;13/07/2023 20:00;1,67;867,23
13/07/2023 20:00;13/07/2023 21:00;1,68;981,45
13/07/2023 21:00;13/07/2023 22:00;1,62;1034,18
13/07/2023 22:00;13/07/2023 23:00;1,61;972,53
13/07/2023 23:00;14/07/2023 00:00;1,70;882,90
14/07/2023 00:00;14/07/2023 01:00;1,71;757,50
14/07/2023 01:00;14/07/2023 02:00;1,75;722,70
14/07/2023 02:00;14/07/2023 03:00;1,66;634,13
14/07/2023 03:00;14/07/2023 04:00;1,64;626,85
14/07/2023 04:00;14/07/2023 05:00;1,70;700,13
14/07/2023 05:00;14/07/2023 06:00;1,78;745,13
14/07/2023 06:00;14/07/2023 07:00;1,80;855,00
14/07/2023 07:00;14/07/2023 08:00;1,78;855,00
14/07/2023 08:00;14/07/2023 09:00;1,82;778,20
14/07/2023 09:00;14/07/2023 10:00;1,90;638,03
14/07/2023 10:00;14/07/2023 11:00;1,86;597,83
14/07/2023 11:00;14/07/2023 12:00;1,88;572,93
14/07/2023 12:00;14/07/2023 13:00;1,83;553,50
14/07/2023 13:00;14/07/2023 14:00;1,76;523,88
14/07/2023 14:00;14/07/2023 15:00;1,63;563,48
14/07/2023 15:00;14/07/2023 16:00;1,57;582,75
14/07/2023 16:00;14/07/2023 17:00;1,55;581,63
14/07/2023 17:00;14/07/2023 18:00;1,54;730,95
14/07/2023 18:00;14/07/2023 19:00;1,56;864,38
14/07/2023 19:00;14/07/2023 20:00;1,56;1051,43
14/07/2023 20:00;14/07/2023 21:00;1,59;1049,40
14/07/2023 21:00;14/07/2023 22:00;1,57;929,40
14/07/2023 22:00;14/07/2023 23:00;1,55;714,38
14/07/2023 23:00;15/07/2023 00:00;1,62;607,05
